,Age,Pclass,Survived
0,22.0,3,1
1,38.0,1,0
2,26.0,3,0
3,35.0,1,1
4,35.0,3,1
6,54.0,1,0
7,2.0,3,0
8,27.0,3,1
9,14.0,2,1
10,4.0,3,0
11,58.0,1,0
12,20.0,3,1
13,39.0,3,1
14,14.0,3,0
15,55.0,2,0
16,2.0,3,1
18,31.0,3,0
20,35.0,2,1
21,34.0,2,0
22,15.0,3,1
23,28.0,1,0
24,8.0,3,1
25,38.0,3,1
27,19.0,1,0
30,40.0,1,1
33,66.0,2,0
34,28.0,1,1
35,42.0,1,0
37,21.0,3,0
38,18.0,3,1
39,14.0,3,1
40,40.0,3,0
41,27.0,2,1
43,3.0,2,0
44,19.0,3,0
49,18.0,3,1
50,7.0,3,0
51,21.0,3,1
52,49.0,1,0
53,29.0,2,1
54,65.0,1,1
56,21.0,2,0
57,28.5,3,1
58,5.0,2,0
59,11.0,3,1
60,22.0,3,0
61,38.0,1,0
62,45.0,1,1
63,4.0,3,0
66,29.0,2,1
67,19.0,3,1
68,17.0,3,0
69,26.0,3,1
70,32.0,2,0
71,16.0,3,0
72,21.0,2,1
73,26.0,3,1
74,32.0,3,0
75,25.0,3,1
78,0.83,2,0
79,30.0,3,1
80,22.0,3,0
81,29.0,3,1
83,28.0,1,0
84,17.0,2,0
85,33.0,3,1
86,16.0,3,0
88,23.0,1,1
89,24.0,3,1
90,29.0,3,0
91,20.0,3,1
92,46.0,1,0
93,26.0,3,1
94,59.0,3,0
96,71.0,1,1
97,23.0,1,0
98,34.0,2,0
99,34.0,2,1
100,28.0,3,0
102,21.0,1,1
103,33.0,3,1
104,37.0,3,0
105,28.0,3,1
106,21.0,3,0
108,38.0,3,1
110,47.0,1,0
111,14.5,3,0
112,22.0,3,1
113,20.0,3,1
114,17.0,3,0
115,21.0,3,1
116,70.5,3,0
117,29.0,2,0
118,24.0,1,1
119,2.0,3,1
120,21.0,2,0
122,32.5,2,0
123,32.5,2,1
124,54.0,1,0
125,12.0,3,1
127,24.0,3,1
129,45.0,3,0
130,33.0,3,1
131,20.0,3,0
132,47.0,3,1
133,29.0,2,0
134,25.0,2,0
135,23.0,2,1
136,19.0,1,1
137,37.0,1,0
138,16.0,3,1
139,24.0,1,0
141,22.0,3,1
142,24.0,3,0
143,19.0,3,1
144,18.0,2,0
145,19.0,2,1
146,27.0,3,0
147,9.0,3,0
148,36.5,2,1
149,42.0,2,1
150,51.0,2,0
151,22.0,1,1
152,55.5,3,0
153,40.5,3,1
155,51.0,1,0
156,16.0,3,1
157,30.0,3,0
160,44.0,3,0
161,40.0,2,1
162,26.0,3,1
163,17.0,3,0
164,1.0,3,1
165,9.0,3,0
167,45.0,3,0
169,28.0,3,1
170,61.0,1,1
171,4.0,3,0
172,1.0,3,1
173,21.0,3,0
174,56.0,1,1
175,18.0,3,0
177,50.0,1,1
178,30.0,2,0
179,36.0,3,1
182,9.0,3,0
183,1.0,2,1
184,4.0,3,0
187,45.0,1,1
188,40.0,3,0
189,36.0,3,0
190,32.0,2,1
191,19.0,2,0
192,19.0,3,1
193,3.0,2,0
194,44.0,1,1
195,58.0,1,1
197,42.0,3,0
199,24.0,2,0
200,28.0,3,1
202,34.0,3,1
203,45.5,3,0
204,18.0,3,1
205,2.0,3,0
206,32.0,3,1
207,26.0,3,0
208,16.0,3,1
209,40.0,1,0
210,24.0,3,1
211,35.0,2,0
212,22.0,3,1
213,30.0,2,0
215,31.0,1,1
216,27.0,3,0
217,42.0,2,1
218,32.0,1,0
219,30.0,2,1
220,16.0,3,0
221,27.0,2,1
222,51.0,3,0
224,38.0,1,1
225,22.0,3,0
226,19.0,2,1
227,20.5,3,0
228,18.0,2,0
230,35.0,1,1
231,29.0,3,0
232,59.0,2,1
233,5.0,3,1
234,24.0,2,0
236,44.0,2,1
237,8.0,2,0
238,19.0,2,0
239,33.0,2,1
242,29.0,2,0
243,22.0,3,1
244,30.0,3,0
245,44.0,1,1
246,25.0,3,0
247,24.0,2,1
248,37.0,1,1
249,54.0,2,0
251,29.0,3,1
252,62.0,1,0
253,30.0,3,1
254,41.0,3,0
255,29.0,3,1
257,30.0,1,0
258,35.0,1,1
259,50.0,2,0
261,3.0,3,0
262,52.0,1,1
263,40.0,1,1
265,36.0,2,0
266,16.0,3,1
267,25.0,3,0
268,58.0,1,0
269,35.0,1,1
271,25.0,3,1
272,41.0,2,0
273,37.0,1,1
275,63.0,1,0
276,45.0,3,0
278,7.0,3,1
